total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts,KMeans_Cluster,GMM_Cluster,Agglo_Cluster,Cluster_Description,customer_id
7.0,129.34,52.17,18.0,0.0,1,1,1,Window Shoppers,CM00000
22.0,24.18,9.19,15.0,7.0,2,2,0,Bargain Hunters,CM00001
2.0,32.18,90.69,50.0,2.0,0,0,2,High Spenders,CM00002
25.0,26.85,11.22,16.0,10.0,2,2,0,Bargain Hunters,CM00003
7.0,125.45,34.19,30.0,3.0,1,1,1,Window Shoppers,CM00004
12.0,199.56,43.39,20.0,3.0,1,1,1,Window Shoppers,CM00005
23.0,43.48,13.11,12.0,10.0,2,2,0,Bargain Hunters,CM00006
27.0,46.58,7.2,14.0,7.0,2,2,0,Bargain Hunters,CM00007
9.0,35.1,9.24,25.0,8.0,2,2,0,Bargain Hunters,CM00008
30.0,40.69,16.34,21.0,8.0,2,2,0,Bargain Hunters,CM00009
5.0,62.6,77.2,49.0,2.0,0,0,2,High Spenders,CM00010
6.0,60.77,78.66,53.0,4.0,0,0,2,High Spenders,CM00011
13.0,105.96,40.82,21.0,6.0,1,1,1,Window Shoppers,CM00012
21.0,26.34,14.85,14.0,7.0,2,2,0,Bargain Hunters,CM00013
13.0,100.0,28.4,20.0,2.0,1,1,1,Window Shoppers,CM00014
15.0,101.29,51.21,21.0,2.0,1,1,1,Window Shoppers,CM00015
15.0,48.23,5.76,19.0,11.0,2,2,0,Bargain Hunters,CM00017
9.0,167.25,42.02,23.0,2.0,1,1,1,Window Shoppers,CM00018
24.0,42.0,22.01,17.0,9.0,2,2,0,Bargain Hunters,CM00019
4.0,37.21,97.61,50.0,3.0,0,0,2,High Spenders,CM00020
25.0,23.37,25.43,10.0,9.0,2,2,0,Bargain Hunters,CM00021
22.0,20.49,13.49,16.0,6.0,2,2,0,Bargain Hunters,CM00022
5.0,53.25,118.66,43.0,0.0,0,0,2,High Spenders,CM00023
6.0,55.45,85.37,46.0,0.0,0,0,2,High Spenders,CM00024
9.0,167.57,50.32,21.0,2.0,1,1,1,Window Shoppers,CM00025
6.0,29.86,65.17,54.0,0.0,0,0,2,High Spenders,CM00026
5.0,196.93,51.28,22.0,3.0,1,1,1,Window Shoppers,CM00027
3.0,71.22,76.43,54.0,2.0,0,0,2,High Spenders,CM00028
9.0,180.97,41.96,13.0,4.0,1,1,1,Window Shoppers,CM00029
7.0,177.98,42.14,23.0,1.0,1,1,1,Window Shoppers,CM00030
10.0,159.86,51.02,17.0,0.0,1,1,1,Window Shoppers,CM00031
17.0,13.66,22.08,11.0,9.0,2,2,0,Bargain Hunters,CM00032
13.0,145.42,36.43,13.0,2.0,1,1,1,Window Shoppers,CM00033
3.0,54.62,89.83,51.0,1.0,0,0,2,High Spenders,CM00034
22.0,46.98,26.84,17.0,9.0,2,2,0,Bargain Hunters,CM00035
12.0,117.71,47.02,9.0,3.0,1,1,1,Window Shoppers,CM00036
12.0,187.29,52.41,20.0,3.0,1,1,1,Window Shoppers,CM00038
24.0,29.22,23.46,21.0,11.0,2,2,0,Bargain Hunters,CM00039
16.0,45.23,10.94,12.0,12.0,2,2,0,Bargain Hunters,CM00040
6.0,55.15,60.26,49.0,1.0,0,0,2,High Spenders,CM00041
5.0,38.11,99.57,54.0,0.0,0,0,2,High Spenders,CM00042
29.0,11.88,14.92,14.0,9.0,2,2,0,Bargain Hunters,CM00043
22.0,11.48,20.79,16.0,16.0,2,2,0,Bargain Hunters,CM00044
22.0,18.26,29.67,18.0,10.0,2,2,0,Bargain Hunters,CM00045
6.0,119.62,42.21,21.0,1.0,1,1,1,Window Shoppers,CM00046
6.0,49.86,80.43,58.0,2.0,0,0,2,High Spenders,CM00048
18.0,16.87,17.0,13.0,9.0,2,2,0,Bargain Hunters,CM00049
8.0,37.37,87.37,37.0,1.0,0,0,2,High Spenders,CM00050
12.0,197.09,30.09,20.0,5.0,1,1,1,Window Shoppers,CM00051
4.0,51.23,73.65,58.0,0.0,0,0,2,High Spenders,CM00052
19.0,13.42,10.33,11.0,10.0,2,2,0,Bargain Hunters,CM00053
4.0,45.09,115.76,45.0,0.0,0,0,2,High Spenders,CM00054
20.0,21.73,15.23,13.0,10.0,2,2,0,Bargain Hunters,CM00055
8.0,102.57,27.23,30.0,1.0,1,1,1,Window Shoppers,CM00056
27.0,37.52,28.18,23.0,5.0,2,2,0,Bargain Hunters,CM00057
4.0,65.22,94.53,51.0,1.0,0,0,2,High Spenders,CM00058
6.0,73.75,113.7,58.0,0.0,0,0,2,High Spenders,CM00059
2.0,36.53,93.26,50.0,0.0,0,0,2,High Spenders,CM00060
8.0,173.02,49.99,9.0,3.0,1,1,1,Window Shoppers,CM00061
22.0,45.44,17.87,14.0,5.0,2,2,0,Bargain Hunters,CM00062
4.0,144.3,27.95,17.0,1.0,1,1,1,Window Shoppers,CM00063
7.0,35.9,79.72,61.0,0.0,0,0,2,High Spenders,CM00064
24.0,44.96,22.56,14.0,11.0,2,2,0,Bargain Hunters,CM00065
17.0,26.35,22.08,16.0,9.0,2,2,0,Bargain Hunters,CM00066
18.0,37.9,14.16,9.0,9.0,2,2,0,Bargain Hunters,CM00067
25.0,43.4,5.29,10.0,10.0,2,2,0,Bargain Hunters,CM00068
4.0,30.41,83.94,45.0,1.0,0,0,2,High Spenders,CM00069
25.0,27.63,29.34,18.0,8.0,2,2,0,Bargain Hunters,CM00070
15.0,28.13,6.14,19.0,11.0,2,2,0,Bargain Hunters,CM00071
14.0,42.63,16.09,14.0,12.0,2,2,0,Bargain Hunters,CM00072
25.0,41.98,10.48,18.0,6.0,2,2,0,Bargain Hunters,CM00073
8.0,154.89,44.4,18.0,1.0,1,1,1,Window Shoppers,CM00074
16.0,108.61,44.17,20.0,2.0,1,1,1,Window Shoppers,CM00075
6.0,70.91,98.69,50.0,1.0,0,0,2,High Spenders,CM00076
8.0,43.91,107.52,56.0,1.0,0,0,2,High Spenders,CM00077
3.0,64.42,69.85,43.0,0.0,0,0,2,High Spenders,CM00078
9.0,142.64,22.91,20.0,1.0,1,1,1,Window Shoppers,CM00079
9.0,106.2,50.08,19.0,2.0,1,1,1,Window Shoppers,CM00080
7.0,107.12,40.51,16.0,1.0,1,1,1,Window Shoppers,CM00081
10.0,194.59,36.11,22.0,3.0,1,1,1,Window Shoppers,CM00082
5.0,61.2,79.37,50.0,3.0,0,0,2,High Spenders,CM00083
12.0,109.66,31.53,15.0,1.0,1,1,1,Window Shoppers,CM00084
10.0,143.28,32.48,15.0,1.0,1,1,1,Window Shoppers,CM00086
25.0,29.58,26.71,24.0,10.0,2,2,0,Bargain Hunters,CM00087
25.0,25.33,5.83,17.0,9.0,2,2,0,Bargain Hunters,CM00088
21.0,33.72,25.95,17.0,12.0,2,2,0,Bargain Hunters,CM00089
10.0,52.48,93.93,41.0,0.0,0,0,2,High Spenders,CM00090
8.0,151.63,39.02,19.0,1.0,1,1,1,Window Shoppers,CM00092
18.0,44.74,8.13,11.0,12.0,2,2,0,Bargain Hunters,CM00093
19.0,38.33,5.14,16.0,12.0,2,2,0,Bargain Hunters,CM00094
4.0,20.57,69.45,59.0,1.0,0,0,2,High Spenders,CM00095
22.0,48.01,22.98,12.0,12.0,2,2,0,Bargain Hunters,CM00096
14.0,194.9,44.85,13.0,2.0,1,1,1,Window Shoppers,CM00098
19.0,16.21,8.25,11.0,12.0,2,2,0,Bargain Hunters,CM00099
21.0,16.65,8.32,17.0,5.0,2,2,0,Bargain Hunters,CM00100
2.0,44.68,68.68,47.0,0.0,0,0,2,High Spenders,CM00101
15.0,14.26,21.09,13.0,8.0,2,2,0,Bargain Hunters,CM00102
24.0,36.72,11.86,20.0,9.0,2,2,0,Bargain Hunters,CM00103
14.0,188.33,37.1,26.0,1.0,1,1,1,Window Shoppers,CM00104
19.0,162.57,34.77,15.0,1.0,1,1,1,Window Shoppers,CM00105
4.0,30.23,89.63,47.0,2.0,0,0,2,High Spenders,CM00106
11.0,124.03,36.76,19.0,0.0,1,1,1,Window Shoppers,CM00107
5.0,26.23,80.28,42.0,1.0,0,0,2,High Spenders,CM00108
28.0,20.39,19.5,12.0,13.0,2,2,0,Bargain Hunters,CM00109
3.0,68.64,103.49,49.0,2.0,0,0,2,High Spenders,CM00110
22.0,41.18,17.89,20.0,7.0,2,2,0,Bargain Hunters,CM00111
21.0,13.01,18.16,14.0,8.0,2,2,0,Bargain Hunters,CM00112
7.0,147.85,23.26,22.0,2.0,1,1,1,Window Shoppers,CM00113
15.0,160.09,51.97,21.0,1.0,1,1,1,Window Shoppers,CM00114
4.0,63.12,98.92,45.0,2.0,0,0,2,High Spenders,CM00115
11.0,153.19,49.38,31.0,2.0,1,1,1,Window Shoppers,CM00116
22.0,10.74,12.29,19.0,9.0,2,2,0,Bargain Hunters,CM00117
5.0,79.52,99.66,47.0,1.0,0,0,2,High Spenders,CM00118
12.0,194.6,53.76,24.0,3.0,1,1,1,Window Shoppers,CM00119
16.0,16.43,16.59,11.0,13.0,2,2,0,Bargain Hunters,CM00120
5.0,49.88,69.92,54.0,1.0,0,0,2,High Spenders,CM00122
9.0,31.28,89.1,58.0,2.0,0,0,2,High Spenders,CM00123
5.0,69.69,118.83,50.0,0.0,0,0,2,High Spenders,CM00124
5.0,55.62,76.35,45.0,1.0,0,0,2,High Spenders,CM00125
8.0,24.07,78.98,59.0,1.0,0,0,2,High Spenders,CM00126
7.0,154.81,31.22,11.0,0.0,1,1,1,Window Shoppers,CM00127
9.0,190.24,34.52,21.0,3.0,1,1,1,Window Shoppers,CM00128
14.0,49.65,17.68,19.0,12.0,2,2,0,Bargain Hunters,CM00129
3.0,140.07,40.18,19.0,1.0,1,1,1,Window Shoppers,CM00130
10.0,106.94,59.13,17.0,2.0,1,1,1,Window Shoppers,CM00131
6.0,52.52,64.51,55.0,1.0,0,0,2,High Spenders,CM00132
3.0,76.86,108.67,48.0,0.0,0,0,2,High Spenders,CM00133
5.0,48.22,86.63,56.0,1.0,0,0,2,High Spenders,CM00134
8.0,132.35,56.28,18.0,0.0,1,1,1,Window Shoppers,CM00135
27.0,10.52,10.75,15.0,9.0,2,2,0,Bargain Hunters,CM00136
14.0,20.38,24.41,9.0,8.0,2,2,0,Bargain Hunters,CM00137
4.0,37.01,91.17,43.0,0.0,0,0,2,High Spenders,CM00138
28.0,17.26,14.21,18.0,9.0,2,2,0,Bargain Hunters,CM00140
17.0,45.85,27.35,16.0,11.0,2,2,0,Bargain Hunters,CM00141
1.0,61.39,103.71,51.0,2.0,0,0,2,High Spenders,CM00142
18.0,46.69,17.45,18.0,4.0,2,2,0,Bargain Hunters,CM00143
20.0,20.89,13.42,6.0,8.0,2,2,0,Bargain Hunters,CM00144
15.0,155.47,30.82,19.0,1.0,1,1,1,Window Shoppers,CM00145
8.0,71.67,98.61,52.0,2.0,0,0,2,High Spenders,CM00146
13.0,144.41,31.43,20.0,4.0,1,1,1,Window Shoppers,CM00147
22.0,35.99,29.67,19.0,9.0,2,2,0,Bargain Hunters,CM00148
5.0,62.85,96.57,57.0,0.0,0,0,2,High Spenders,CM00149
8.0,185.0,32.26,17.0,3.0,1,1,1,Window Shoppers,CM00150
11.0,131.52,40.86,12.0,3.0,1,1,1,Window Shoppers,CM00151
26.0,13.31,22.24,10.0,11.0,2,2,0,Bargain Hunters,CM00152
5.0,53.37,77.48,42.0,1.0,0,0,2,High Spenders,CM00153
27.0,26.86,16.83,22.0,15.0,2,2,0,Bargain Hunters,CM00154
4.0,43.59,105.33,39.0,0.0,0,0,2,High Spenders,CM00156
10.0,135.47,28.27,16.0,3.0,1,1,1,Window Shoppers,CM00157
20.0,47.79,8.05,19.0,12.0,2,2,0,Bargain Hunters,CM00158
8.0,166.65,25.53,12.0,2.0,1,1,1,Window Shoppers,CM00159
5.0,60.09,99.45,51.0,0.0,0,0,2,High Spenders,CM00160
13.0,181.37,51.34,23.0,0.0,1,1,1,Window Shoppers,CM00161
6.0,39.65,85.98,43.0,0.0,0,0,2,High Spenders,CM00162
3.0,46.89,114.76,51.0,0.0,0,0,2,High Spenders,CM00163
5.0,65.82,76.11,44.0,1.0,0,0,2,High Spenders,CM00164
10.0,109.8,22.19,20.0,1.0,1,1,1,Window Shoppers,CM00165
